STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1995-01,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1995-02,26.4
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1995-06,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1995-07,27.1
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1995-08,26.8
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1995-09,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1995-10,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1995-11,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1995-12,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1996-01,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1996-02,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1996-03,27.2
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1996-04,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1996-05,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1996-06,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1996-07,27.1
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1996-08,27.1
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1996-10,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1996-11,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1996-12,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1997-01,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1997-03,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1997-04,27.2
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1997-05,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1997-07,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1997-08,27.5
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1997-09,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1997-10,26.9
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1997-11,27
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1998-04,28.4
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1998-05,28.5
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1998-06,27.9
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1998-09,27.4
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1998-10,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1998-11,27.4
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1999-02,26.9
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2000-05,27.7
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2000-07,27.1
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2000-08,26.7
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2001-02,26.7
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2001-03,27.5
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2001-04,27.2
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2001-06,27
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2001-07,27
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2001-08,27
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2001-09,27.2
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2001-10,27.2
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2001-11,26.8
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2001-12,27
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2002-03,27.3
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2002-04,27.4
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2002-07,27.1
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2002-08,27.1
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2002-09,26.8
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2002-11,27.1
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2002-12,27.5
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2003-01,27.1
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2003-02,27
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2003-03,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2003-04,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2003-05,28.4
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2003-06,28
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2003-07,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2003-08,27.7
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2003-09,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2003-11,27.3
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2003-12,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2004-02,27.2
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2004-03,27.7
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2004-05,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2004-06,27.8
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2004-08,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2004-10,27.2
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2004-12,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2005-01,26.6
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2005-02,27.7
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2005-03,27.4
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2005-04,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2005-05,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2005-06,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2005-07,27.1
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2005-08,27.4
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2005-10,27.4
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2006-02,27.5
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2006-03,27.7
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2006-05,27.6
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2006-06,27.4
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2006-07,27.5
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2006-08,27.4
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2006-09,27.2
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2006-12,27
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2007-01,26.8
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2007-02,27.1
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2007-04,27.9
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2007-06,28.1
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2007-07,27.3
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2007-09,27.3
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2007-11,27.1
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2007-12,26.4
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2008-01,27
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2008-05,27.9
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2008-06,27.6
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2008-07,26.9
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2008-08,27.3
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2008-09,27.1
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2008-10,27.1
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2008-12,26.9
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2009-01,26.4
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2009-02,26.8
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2009-03,27.1
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2009-06,28.3
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2009-07,27.7
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2009-10,27.9
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2009-11,27.4
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2009-12,26.8
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2010-02,28.1
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2010-04,28.4
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2010-05,29.1
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2010-06,28.1
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2010-10,27.8
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2010-11,27.4
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2010-12,27.1
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2011-01,26.1
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2011-02,27.4
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2011-03,27.4
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2011-07,27.5
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2011-08,27.2
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2011-09,27.4
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2011-10,27.3
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2011-11,27.3
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2011-12,26.8
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2012-01,27.6
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2012-04,27.6
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2012-06,28.3
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2012-12,27.5
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2013-02,27.3
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2013-03,28.3
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2013-04,28.3
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2015-05,28.2
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2015-06,28.2
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2015-12,28.1
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,2016-01,27.9
