longitude,latitude,Date,PRCP_GHCN,PRCP_TRMM,PRCP_CHIRPS
117.8208333,5.01666667,1/01/2015,291.2,467.8720703,322.8063049
117.8208333,5.01666667,1/02/2015,113,72.08104706,45.03686523
117.8208333,5.01666667,1/03/2015,105.2,102.5130844,115.8582001
117.8208333,5.01666667,1/04/2015,110,123.2949219,94.02857208
117.8208333,5.01666667,1/05/2015,215,168.2582855,231.6899109
117.8208333,5.01666667,1/06/2015,201.9,136.3203888,114.2007751
117.8208333,5.01666667,1/07/2015,63.6,119.802536,123.5702362
117.8208333,5.01666667,1/08/2015,164.9,211.5894165,143.6346741
117.8208333,5.01666667,1/09/2015,173.3,169.6241608,187.3259277
117.8208333,5.01666667,1/10/2015,158.1,200.9987488,211.9704437
117.8208333,5.01666667,1/11/2015,369.8,329.3503113,232.091095
117.8208333,5.01666667,1/12/2015,178.8,172.9983215,190.775177
117.8208333,5.01666667,1/01/2016,170.5,214.8312683,91.47327423
117.8208333,5.01666667,1/02/2016,138.6,46.17000198,132.878952
117.8208333,5.01666667,1/03/2016,104.9,77.12999725,103.1692352
117.8208333,5.01666667,1/04/2016,77.1,99.40406036,159.9197388
117.8208333,5.01666667,1/05/2016,244.3,280.1368408,275.8279419
117.8208333,5.01666667,1/06/2016,172.1,263.5774841,236.1652832
117.8208333,5.01666667,1/07/2016,215.2,241.1624298,232.0488586
117.8208333,5.01666667,1/08/2016,,241.8859253,170.9547119
117.8208333,5.01666667,1/09/2016,,289.6887817,293.3538818
117.8208333,5.01666667,1/10/2016,,327.1671143,423.4029541
117.8208333,5.01666667,1/11/2016,,296.0360107,238.8647156
117.8208333,5.01666667,1/12/2016,,424.1171265,423.1409912
