Date,NAME,LATITUDE,LONGITUDE,ELEVATION,PRCP_GHCN,PRCP_TRMM,PRCP_CHIRPS
1/08/2010,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,80.37477875,100.9557571
1/09/2010,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,127.3197708,134.251709
1/10/2010,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,151.7519684,196.4313965
1/11/2010,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,459,448.8405457,373.3540955
1/12/2010,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,285.4887085,261.5390015
1/01/2011,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,353.5,368.8213196,428.7601013
1/02/2011,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,262.8353882,277.0688171
1/03/2011,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,359.9,319.9180298,318.3682861
1/04/2011,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,313.7,362.0574646,278.763092
1/05/2011,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,268.6288452,260.8791504
1/06/2011,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,239.9049225,192.6990356
1/07/2011,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,240.7380981,138.95401
1/08/2011,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,86.75473785,107.2454987
1/09/2011,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,89.15985107,140.7093048
1/10/2011,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,133.2454071,190.4113159
1/11/2011,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,246.3410492,284.9860535
1/12/2011,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,280.5,299.2897034,287.5567322
1/01/2012,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,321,287.035675,309.4959106
1/02/2012,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,438.5,297.5735474,300.8701782
1/03/2012,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,505.4,495.5323181,426.3751526
1/04/2012,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,251.2708435,249.0991516
1/05/2012,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,309.7,243.6172485,233.9155579
1/06/2012,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,161.4,182.3241577,202.5935211
1/07/2012,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,246.9792023,176.9385223
1/08/2012,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,75.95226288,126.3562393
1/09/2012,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,180.0809326,226.3918152
1/10/2012,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,193.9,189.3773956,212.1269684
1/11/2012,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,180.3098145,196.8562927
1/12/2012,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,363.0698242,340.8080139
1/01/2013,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,351.1841736,418.2332458
